"","videonames","duration","angles","individual","locomote_posture","acc_nearest_env_peak","acc_nearest_f0_peak","maxf0","synchrony","maxacc","maxamp"
"65","12_August_session1_4_5",2940,1,"Baju","56_LOCOMOTE_forelimb_swing",0.0494732694095082,430.51308299877,793.105274115669,10,0.00349875338689071,0.586326286690712
"66","21_August_session1_17_18",3780,1,"Fajar","111_LOCOMOTE_Vertical_climb",0.0055839028596255,423.655063958816,768.373571607802,70,0.00238101818175734,0.449096482640409
"67","12_August_session1_1_2",2620,1,"Baju","56_LOCOMOTE_forelimb_swing",0.0461999680821216,423.464027687355,738.210845947266,100,0.00351210702712864,0.67090337904129
"68","12_August_session1_6_7",2840,1,"Baju","26_LOCOMOTE_Bimanual_pull_up",0.0620843128257037,341.568054199219,749.17371057581,60,0.00459590325758653,0.922317949979723
"69","12_August_session1_8_9",2940,1,"Baju","56_LOCOMOTE_forelimb_swing",0.0297642517999859,379.915161132812,792.049675835504,280,0.00358990495726517,0.836054363594215
"70","13_June_session1_3_4",2380,1,"Baju","56_LOCOMOTE_forelimb_swing",0.250641003515299,480.356318721065,773.415520562066,50,0.00431149638451816,0.581379960128929
"71","13_June_session1_6_7",2400,1,"Baju","56_LOCOMOTE_forelimb_swing",0.14564620241694,502.266907868562,569.759129653742,10,0.0048981859392188,0.802129014130922
"72","14_August_session1_12_13",3460,1,"Fajar","64_LOCOMOTE_orthograde_clamber",0.0146907713292941,432.605544478805,763.495224846734,30,0.00109678591814437,0.544391043908742
"73","14_August_session1_4_5",2760,1,"Fajar","112_LOCOMOTE_Clamber_walk",0.0506634545359647,415.466638635706,769.100365532769,100,0.00334858763613756,0.690034127900106
"74","18_June_session1_10_11",2780,1,"Fajar","undefined",0.0784501171418685,399.915100097656,746.862864176432,430,0.00312233957340639,0.668116994290842
"75","18_June_session1_11_12",2760,1,"Fajar","31_LOCOMOTE_Brachiate",0.0379644345111944,395.269684968171,753.868253919813,30,0.00547899605034122,0.645932684251688
"76","18_June_session1_12_13",2560,1,"Fajar","31_LOCOMOTE_Brachiate",0.145921322867183,409.4813335403,774.609298140914,550,0.00425719756370579,0.475275687007758
"77","18_June_session1_13_14",2780,1,"Fajar","54_LOCOMOTE_flexed_elbow_forelimb_swing",0.0769859150991205,394.93524452492,760.642977396647,280,0.00256967911782842,0.497068760710362
"78","18_June_session1_15_16",2560,1,"Fajar","undefined",0.131630045677004,403.147430419922,753.474671257867,530,0.00468099381033131,0.570895754293322
"79","18_June_session1_2_3",2420,1,"Fajar","56_LOCOMOTE_forelimb_swing",0.196027959232739,371.268585205078,747.494952731662,120,0.00279451772591613,0.51234054166623
"80","21_August_session1_12_13",3600,1,"Fajar","undefined",0.00570231270218008,415.955595793548,784.343442450629,110,0.00260670595145155,0.467586269132148
"81","21_August_session1_14_15",3720,1,"Fajar","undefined",0.00581833719282093,413.343020968967,791.89639960395,20,0.00338181723099619,0.577734701954154
"82","21_August_session1_2_3",3140,1,"Fajar","4_Bimanual_forelimb_suspend",0.0133863110182708,415.451330114294,784.730561150445,40,0.000840480567877442,0.658990185159299
"83","21_August_session1_7_8",3640,1,"Fajar","110_LOCOMOTE_Drop_forelimb_swing",0.0976441428270141,399.283246075666,762.887131585015,40,0.009917596970928,0.649301049041766
